city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score
North Guwahati,2.0,0.0,0.0,2.0,NORTH GUWAHATI,0.0,,0.0,,,0,0,0,0
Patancheru,1.0,1.0,0.0,2.0,PATANCHERU,0.0,,0.0,,,0,0,0,0
Ghandinagar,2.0,0.0,0.0,2.0,GHANDINAGAR,0.0,,0.0,,,0,0,0,0
Goshainganj,1.0,1.0,0.0,2.0,GOSHAINGANJ,0.0,,0.0,,,0,0,0,0
Mangalagiri,1.0,1.0,0.0,2.0,MANGALAGIRI,0.0,,0.0,,,0,0,0,0
Lonavla,1.0,1.0,0.0,2.0,LONAVLA,0.0,,0.0,,,0,0,0,0
Katpadi,1.0,1.0,0.0,2.0,KATPADI,0.0,,0.0,,,0,0,0,0
Manipala,1.0,1.0,0.0,2.0,MANIPALA,0.0,,0.0,,,0,0,0,0
Kurukshetra,0.0,0.0,2.0,2.0,KURUKSHETRA,279225.0,57319.0,74.93,74902.0,4.87,14316,42949,42949,14316
Kanchrapara,1.0,1.0,0.0,2.0,KANCHRAPARA,0.0,,0.0,,,0,0,0,0
Karur,0.0,2.0,0.0,2.0,KARUR,434517.0,118699.0,76.62,140327.0,3.66,30316,90947,30316,90947
Karamsad,1.0,1.0,0.0,2.0,KARAMSAD,0.0,,0.0,,,0,0,0,0
Latur,1.0,1.0,0.0,2.0,LATUR,624980.0,118163.0,72.93,146118.0,5.29,28725,43088,43088,86176
Khardah,2.0,0.0,0.0,2.0,KHARDAH,0.0,,0.0,,,0,0,0,0
Vagator,1.0,1.0,0.0,2.0,VAGATOR,0.0,,0.0,,,0,0,0,0
Yamunanagar,2.0,0.0,0.0,2.0,YAMUNANAGAR,472829.0,98771.0,75.0,129197.0,4.79,24693,24693,74078,74078
Ulhasnagar,1.0,1.0,0.0,2.0,ULHASNAGAR,0.0,,0.0,,,0,0,0,0
Ullal,0.0,2.0,0.0,2.0,ULLAL,0.0,,0.0,,,0,0,0,0
Udipi,1.0,1.0,0.0,2.0,UDIPI,0.0,,0.0,,,0,0,0,0
Tumkur,1.0,1.0,0.0,2.0,TUMKUR,599078.0,142560.0,78.28,174257.0,4.2,37199,55798,55798,111596
Vikasnagar,2.0,0.0,0.0,2.0,VIKASNAGAR,0.0,,0.0,,,0,0,0,0
Vasco Da Gama,1.0,1.0,0.0,2.0,VASCO DA GAMA,0.0,,0.0,,,0,0,0,0
Valsad,1.0,0.0,1.0,2.0,VALSAD,635501.0,147455.0,78.59,212505.0,4.31,38628,57942,115885,57942
Alwar,2.0,0.0,0.0,2.0,ALWAR,654451.0,128203.0,72.5,175325.0,5.1,30982,30982,92947,92947
Alibag,1.0,0.0,0.0,1.0,ALIBAG,0.0,,0.0,,,0,0,0,0
Alleppey,0.0,1.0,0.0,1.0,ALLEPPEY,0.0,,0.0,,,0,0,0,0
Vaghodia,1.0,0.0,0.0,1.0,VAGHODIA,0.0,,0.0,,,0,0,0,0
Tumkuru,0.0,0.0,1.0,1.0,TUMKURU,0.0,,0.0,,,0,0,0,0
Una,1.0,0.0,0.0,1.0,UNA,44913.0,9830.0,77.34,12329.0,4.57,3801,3801,7603,7603
Unnao,1.0,0.0,0.0,1.0,UNNAO,531646.0,97427.0,65.92,95586.0,5.46,32112,32112,64224,64224
Wardha,1.0,0.0,0.0,1.0,WARDHA,423300.0,97353.0,83.72,104388.0,4.35,40752,40752,81504,81504
Kharagpur,1.0,0.0,0.0,1.0,KHARAGPUR,0.0,,0.0,,,0,0,0,0
Kizhake Chalakudi,0.0,1.0,0.0,1.0,KIZHAKE CHALAKUDI,0.0,,0.0,,,0,0,0,0
Konnagar,1.0,0.0,0.0,1.0,KONNAGAR,0.0,,0.0,,,0,0,0,0
Korampallam,0.0,1.0,0.0,1.0,KORAMPALLAM,0.0,,0.0,,,0,0,0,0
Kotdwara,1.0,0.0,0.0,1.0,KOTDWARA,0.0,,0.0,,,0,0,0,0
Krishnapur,1.0,0.0,0.0,1.0,KRISHNAPUR,0.0,,0.0,,,0,0,0,0
Lakhimpur,1.0,0.0,0.0,1.0,LAKHIMPUR,91333.0,21115.0,76.98,26077.0,4.33,8127,8127,16254,16254
Kapurthala,1.0,0.0,0.0,1.0,KAPURTHALA,282462.0,60279.0,76.4,83564.0,4.69,23027,23027,46053,46053
Karaikkudi,0.0,1.0,0.0,1.0,KARAIKKUDI,0.0,,0.0,,,0,0,0,0
Kashipur,1.0,0.0,0.0,1.0,KASHIPUR,0.0,,0.0,,,0,0,0,0
Katihar,1.0,0.0,0.0,1.0,KATIHAR,273822.0,53564.0,65.89,50994.0,5.11,17647,17647,35293,35293
Khamaria,1.0,0.0,0.0,1.0,KHAMARIA,0.0,,0.0,,,0,0,0,0
Khanna,1.0,0.0,0.0,1.0,KHANNA,0.0,,0.0,,,0,0,0,0
Madgaon,0.0,1.0,0.0,1.0,MADGAON,0.0,,0.0,,,0,0,0,0
Madukkarai,0.0,1.0,0.0,1.0,MADUKKARAI,0.0,,0.0,,,0,0,0,0
Mainpuri,1.0,0.0,0.0,1.0,MAINPURI,288442.0,50187.0,68.63,46436.0,5.75,17222,17222,34443,34443
Mandya,1.0,0.0,0.0,1.0,MANDYA,308362.0,73354.0,74.7,90039.0,4.2,27398,27398,54795,54795
Mavoor,0.0,1.0,0.0,1.0,MAVOOR,0.0,,0.0,,,0,0,0,0
Mehsana,0.0,0.0,1.0,1.0,MEHSANA,0.0,,0.0,,,0,0,0,0
Mirzapur,1.0,0.0,0.0,1.0,MIRZAPUR,347567.0,55602.0,65.34,61013.0,6.25,18165,18165,36330,36330
Moga,1.0,0.0,0.0,1.0,MOGA,227246.0,45958.0,70.36,65996.0,4.94,16168,16168,32336,32336
Morbi,1.0,0.0,0.0,1.0,MORBI,0.0,,0.0,,,0,0,0,0
Motihari,1.0,0.0,0.0,1.0,MOTIHARI,0.0,,0.0,,,0,0,0,0
Muradnagar,1.0,0.0,0.0,1.0,MURADNAGAR,0.0,,0.0,,,0,0,0,0
Mussoorie,1.0,0.0,0.0,1.0,MUSSOORIE,0.0,,0.0,,,0,0,0,0
Muvattupula,0.0,1.0,0.0,1.0,MUVATTUPULA,0.0,,0.0,,,0,0,0,0
Muzaffarnagar,1.0,0.0,0.0,1.0,MUZAFFARNAGAR,1191312.0,200893.0,60.6,248323.0,5.93,60871,60871,121741,121741
Avanoor,0.0,1.0,0.0,1.0,AVANOOR,0.0,,0.0,,,0,0,0,0
Jatani,1.0,0.0,0.0,1.0,JATANI,0.0,,0.0,,,0,0,0,0
Jaunpur,1.0,0.0,0.0,1.0,JAUNPUR,346580.0,50269.0,69.43,59831.0,6.89,17451,17451,34902,34902
Jhulasan,1.0,0.0,0.0,1.0,JHULASAN,0.0,,0.0,,,0,0,0,0
Jind,1.0,0.0,0.0,1.0,JIND,305583.0,58861.0,70.37,67915.0,5.19,20710,20710,41420,41420
Jobner,1.0,0.0,0.0,1.0,JOBNER,0.0,,0.0,,,0,0,0,0
Junagadh,1.0,0.0,0.0,1.0,JUNAGADH,906412.0,179624.0,73.33,233735.0,5.05,65859,65859,131718,131718
Kaithal,1.0,0.0,0.0,1.0,KAITHAL,236011.0,46255.0,68.35,51689.0,5.1,15808,15808,31615,31615
Kalundri,0.0,1.0,0.0,1.0,KALUNDRI,0.0,,0.0,,,0,0,0,0
Kanchipuram,0.0,1.0,0.0,1.0,KANCHIPURAM,0.0,,0.0,,,0,0,0,0
Ayodhya,1.0,0.0,0.0,1.0,AYODHYA,0.0,,0.0,,,0,0,0,0
Azamgarh,1.0,0.0,0.0,1.0,AZAMGARH,393401.0,53644.0,66.29,50704.0,7.33,17780,17780,35561,35561
Baddi,1.0,0.0,0.0,1.0,BADDI,0.0,,0.0,,,0,0,0,0
Baidyabati,1.0,0.0,0.0,1.0,BAIDYABATI,0.0,,0.0,,,0,0,0,0
Bali,1.0,0.0,0.0,1.0,BALI,0.0,,0.0,,,0,0,0,0
Bankra,1.0,0.0,0.0,1.0,BANKRA,0.0,,0.0,,,0,0,0,0
Baraut,1.0,0.0,0.0,1.0,BARAUT,0.0,,0.0,,,0,0,0,0
Barddhaman,1.0,0.0,0.0,1.0,BARDDHAMAN,3078299.0,659366.0,73.06,762901.0,4.67,240866,240866,481733,481733
Nabha,1.0,0.0,0.0,1.0,NABHA,0.0,,0.0,,,0,0,0,0
Nadiad,1.0,0.0,0.0,1.0,NADIAD,0.0,,0.0,,,0,0,0,0
Hoshangabad,1.0,0.0,0.0,1.0,HOSHANGABAD,389986.0,81670.0,77.04,100663.0,4.78,31459,31459,62919,62919
Hospet,1.0,0.0,0.0,1.0,HOSPET,0.0,,0.0,,,0,0,0,0
Hugli,1.0,0.0,0.0,1.0,HUGLI,2128499.0,505943.0,79.34,636704.0,4.21,200708,200708,401415,401415
Jalalpur,1.0,0.0,0.0,1.0,JALALPUR,0.0,,0.0,,,0,0,0,0
Jalgaon,1.0,0.0,0.0,1.0,JALGAON,1342711.0,279073.0,75.54,307373.0,4.81,105406,105406,210812,210812
Jamnagar,1.0,0.0,0.0,1.0,JAMNAGAR,971065.0,200638.0,70.11,273545.0,4.84,70334,70334,140667,140667
Jasidih,1.0,0.0,0.0,1.0,JASIDIH,0.0,,0.0,,,0,0,0,0
Nagercoil,0.0,1.0,0.0,1.0,NAGERCOIL,0.0,,0.0,,,0,0,0,0
Naihati,1.0,0.0,0.0,1.0,NAIHATI,0.0,,0.0,,,0,0,0,0
Nandambakkam,1.0,0.0,0.0,1.0,NANDAMBAKKAM,0.0,,0.0,,,0,0,0,0
Naravarikuppam,1.0,0.0,0.0,1.0,NARAVARIKUPPAM,0.0,,0.0,,,0,0,0,0
Niwari,1.0,0.0,0.0,1.0,NIWARI,0.0,,0.0,,,0,0,0,0
Palanpur,1.0,0.0,0.0,1.0,PALANPUR,0.0,,0.0,,,0,0,0,0
Palavakkam,0.0,1.0,0.0,1.0,PALAVAKKAM,0.0,,0.0,,,0,0,0,0
Gulbarga,1.0,0.0,0.0,1.0,GULBARGA,835551.0,158721.0,68.22,201457.0,5.26,54140,54140,108279,108279
HAPUR,0.0,0.0,1.0,1.0,HAPUR,0.0,,0.0,,,0,0,0,0
Hamirpur,1.0,0.0,0.0,1.0,HAMIRPUR,31430.0,7404.0,83.91,8313.0,4.25,3106,3106,6213,6213
Hamirpur,1.0,0.0,0.0,1.0,HAMIRPUR,209848.0,38163.0,67.44,35576.0,5.5,12869,12869,25737,25737
Hapur,1.0,0.0,0.0,1.0,HAPUR,0.0,,0.0,,,0,0,0,0
Hardoi,1.0,0.0,0.0,1.0,HARDOI,541806.0,91815.0,62.39,87790.0,5.9,28642,28642,57283,57283
Hassan,1.0,0.0,0.0,1.0,HASSAN,376763.0,91819.0,79.54,113963.0,4.1,36516,36516,73033,73033
Hazaribag,1.0,0.0,0.0,1.0,HAZARIBAG,0.0,,0.0,,,0,0,0,0
Ghazipur,1.0,0.0,0.0,1.0,GHAZIPUR,274360.0,41569.0,69.18,47226.0,6.6,14379,14379,28757,28757
Giridih,1.0,0.0,0.0,1.0,GIRIDIH,208024.0,35812.0,67.28,43064.0,5.81,12047,12047,24094,24094
Goa Velha,1.0,0.0,0.0,1.0,GOA VELHA,0.0,,0.0,,,0,0,0,0
Gokul,1.0,0.0,0.0,1.0,GOKUL,0.0,,0.0,,,0,0,0,0
Gonda,1.0,0.0,0.0,1.0,GONDA,225029.0,36969.0,67.03,39681.0,6.09,12390,12390,24780,24780
Palghar,1.0,0.0,0.0,1.0,PALGHAR,0.0,,0.0,,,0,0,0,0
Palwal,1.0,0.0,0.0,1.0,PALWAL,236544.0,41461.0,66.72,45149.0,5.71,13831,13831,27663,27663
Panaji,1.0,0.0,0.0,1.0,PANAJI,0.0,,0.0,,,0,0,0,0
Pathankot,1.0,0.0,0.0,1.0,PATHANKOT,0.0,,0.0,,,0,0,0,0
Perumpavur,0.0,1.0,0.0,1.0,PERUMPAVUR,0.0,,0.0,,,0,0,0,0
Pilibhit,1.0,0.0,0.0,1.0,PILIBHIT,351415.0,63547.0,56.78,64049.0,5.53,18041,18041,36082,36082
Ponda,1.0,0.0,0.0,1.0,PONDA,0.0,,0.0,,,0,0,0,0
Puri,1.0,0.0,0.0,1.0,PURI,264930.0,54081.0,79.17,76158.0,4.9,21408,21408,42816,42816
Purnia,1.0,0.0,0.0,1.0,PURNIA,343005.0,66414.0,61.43,56583.0,5.16,20399,20399,40798,40798
Rae Bareli,1.0,0.0,0.0,1.0,RAE BARELI,307995.0,53931.0,70.07,59632.0,5.71,18895,18895,37789,37789
Raichur,1.0,0.0,0.0,1.0,RAICHUR,490348.0,96268.0,65.33,125975.0,5.09,31446,31446,62892,62892
Raiwala,1.0,0.0,0.0,1.0,RAIWALA,0.0,,0.0,,,0,0,0,0
Rajpura,1.0,0.0,0.0,1.0,RAJPURA,0.0,,0.0,,,0,0,0,0
Ramanayyapeta,1.0,0.0,0.0,1.0,RAMANAYYAPETA,0.0,,0.0,,,0,0,0,0
Ramgarh,1.0,0.0,0.0,1.0,RAMGARH,418955.0,80546.0,70.48,89352.0,5.2,28384,28384,56769,56769
Rampur,1.0,0.0,0.0,1.0,RAMPUR,588647.0,103221.0,48.36,114975.0,5.7,24959,24959,49918,49918
Ratlam,1.0,0.0,0.0,1.0,RATLAM,435031.0,84829.0,73.28,108574.0,5.13,31081,31081,62163,62163
Rewa,1.0,0.0,0.0,1.0,REWA,395785.0,75768.0,71.97,78002.0,5.22,27265,27265,54530,54530
Doiwala,1.0,0.0,0.0,1.0,DOIWALA,0.0,,0.0,,,0,0,0,0
Etawah,1.0,0.0,0.0,1.0,ETAWAH,366299.0,63979.0,72.02,66426.0,5.73,23039,23039,46078,46078
Faizabad,1.0,0.0,0.0,1.0,FAIZABAD,340253.0,57664.0,71.0,68868.0,5.9,20471,20471,40941,40941
Faridkot,1.0,0.0,0.0,1.0,FARIDKOT,217051.0,44165.0,69.79,61395.0,4.91,15411,15411,30823,30823
Farrukhabad,1.0,0.0,0.0,1.0,FARRUKHABAD,416185.0,72025.0,63.77,79615.0,5.78,22965,22965,45930,45930
Fatehpur,1.0,0.0,0.0,1.0,FATEHPUR,321993.0,57660.0,66.28,58541.0,5.58,19109,19109,38217,38217
Firozabad,1.0,0.0,0.0,1.0,FIROZABAD,833169.0,139369.0,60.68,169240.0,5.98,42285,42285,84569,84569
Firozpur,1.0,0.0,0.0,1.0,FIROZPUR,552556.0,109027.0,69.98,158697.0,5.07,38149,38149,76297,76297
Davorlim,1.0,0.0,0.0,1.0,DAVORLIM,0.0,,0.0,,,0,0,0,0
Deoria,1.0,0.0,0.0,1.0,DEORIA,316803.0,47696.0,69.7,51242.0,6.64,16622,16622,33244,33244
Dewas,1.0,0.0,0.0,1.0,DEWAS,451759.0,87595.0,71.07,105913.0,5.16,31127,31127,62254,62254
Dharmsala,1.0,0.0,0.0,1.0,DHARMSALA,0.0,,0.0,,,0,0,0,0
Dod Ballapur,1.0,0.0,0.0,1.0,DOD BALLAPUR,0.0,,0.0,,,0,0,0,0
Rishikesh,1.0,0.0,0.0,1.0,RISHIKESH,0.0,,0.0,,,0,0,0,0
Sachin,1.0,0.0,0.0,1.0,SACHIN,0.0,,0.0,,,0,0,0,0
Saligao,1.0,0.0,0.0,1.0,SALIGAO,0.0,,0.0,,,0,0,0,0
Samastipur,1.0,0.0,0.0,1.0,SAMASTIPUR,147797.0,28091.0,69.22,30661.0,5.26,9722,9722,19445,19445
Sangrur,1.0,0.0,0.0,1.0,SANGRUR,515965.0,101006.0,66.52,135107.0,5.11,33595,33595,67189,67189
Sasvad,1.0,0.0,0.0,1.0,SASVAD,0.0,,0.0,,,0,0,0,0
Satara,1.0,0.0,0.0,1.0,SATARA,570378.0,125148.0,79.76,152070.0,4.56,49909,49909,99818,99818
Satna,1.0,0.0,0.0,1.0,SATNA,474418.0,92955.0,72.2,109323.0,5.1,33557,33557,67114,67114
Basti,1.0,0.0,0.0,1.0,BASTI,138097.0,21575.0,72.75,23796.0,6.4,7848,7848,15696,15696
Batala,1.0,0.0,0.0,1.0,BATALA,0.0,,0.0,,,0,0,0,0
Begusarai,1.0,0.0,0.0,1.0,BEGUSARAI,569823.0,107175.0,60.14,83464.0,5.32,32228,32228,64455,64455
Behror,1.0,0.0,0.0,1.0,BEHROR,0.0,,0.0,,,0,0,0,0
Bellary,1.0,0.0,0.0,1.0,BELLARY,920239.0,193860.0,66.54,254201.0,4.75,64497,64497,128994,128994
Bettiah,1.0,0.0,0.0,1.0,BETTIAH,0.0,,0.0,,,0,0,0,0
Bharatpur,1.0,0.0,0.0,1.0,BHARATPUR,495099.0,86725.0,68.16,103835.0,5.71,29556,29556,59112,59112
Dankaur,1.0,0.0,0.0,1.0,DANKAUR,0.0,,0.0,,,0,0,0,0
Shahjahanpur,1.0,0.0,0.0,1.0,SHAHJAHANPUR,594092.0,102444.0,56.24,108478.0,5.8,28807,28807,57615,57615
Shikohabad,1.0,0.0,0.0,1.0,SHIKOHABAD,0.0,,0.0,,,0,0,0,0
Shirdi,1.0,0.0,0.0,1.0,SHIRDI,0.0,,0.0,,,0,0,0,0
Shrirampur,1.0,0.0,0.0,1.0,SHRIRAMPUR,0.0,,0.0,,,0,0,0,0
Silchar,0.0,1.0,0.0,1.0,SILCHAR,0.0,,0.0,,,0,0,0,0
Silvassa,1.0,0.0,0.0,1.0,SILVASSA,0.0,,0.0,,,0,0,0,0
Sirsa,1.0,0.0,0.0,1.0,SIRSA,319248.0,63076.0,69.93,81493.0,5.06,22055,22055,44109,44109
Sitapur,1.0,0.0,0.0,1.0,SITAPUR,530784.0,87109.0,62.4,93946.0,6.09,27178,27178,54356,54356
Sodpur,1.0,0.0,0.0,1.0,SODPUR,0.0,,0.0,,,0,0,0,0
Chandrapur,1.0,0.0,0.0,1.0,CHANDRAPUR,775378.0,180458.0,79.47,200534.0,4.3,71705,71705,143410,143410
Changanacheri,0.0,1.0,0.0,1.0,CHANGANACHERI,0.0,,0.0,,,0,0,0,0
Charkhi Dadri,1.0,0.0,0.0,1.0,CHARKHI DADRI,0.0,,0.0,,,0,0,0,0
Chengannur,0.0,1.0,0.0,1.0,CHENGANNUR,0.0,,0.0,,,0,0,0,0
Chikmagalur,1.0,0.0,0.0,1.0,CHIKMAGALUR,239508.0,57838.0,79.44,72575.0,4.14,22973,22973,45947,45947
Chitradurga,1.0,0.0,0.0,1.0,CHITRADURGA,329533.0,73334.0,76.77,95567.0,4.49,28149,28149,56299,56299
Solan,1.0,0.0,0.0,1.0,SOLAN,102147.0,25915.0,80.77,41338.0,3.94,10466,10466,20932,20932
Sriramnagar,1.0,0.0,0.0,1.0,SRIRAMNAGAR,0.0,,0.0,,,0,0,0,0
Sundarnagar,1.0,0.0,0.0,1.0,SUNDARNAGAR,0.0,,0.0,,,0,0,0,0
Tirunelveli,0.0,1.0,0.0,1.0,TIRUNELVELI,1520229.0,396471.0,77.18,388540.0,3.83,152998,305996,152998,305996
Tirupparangunram,0.0,1.0,0.0,1.0,TIRUPPARANGUNRAM,0.0,,0.0,,,0,0,0,0
Tiruvallur,0.0,1.0,0.0,1.0,TIRUVALLUR,0.0,,0.0,,,0,0,0,0
Bihar Sharif,1.0,0.0,0.0,1.0,BIHAR SHARIF,0.0,,0.0,,,0,0,0,0
Bijapur,1.0,0.0,0.0,1.0,BIJAPUR,29600.0,6468.0,63.76,6571.0,4.58,2062,2062,4124,4124
Bijapur,1.0,0.0,0.0,1.0,BIJAPUR,501978.0,99055.0,70.55,115769.0,5.07,34942,34942,69883,69883
Bijnor,1.0,0.0,0.0,1.0,BIJNOR,925312.0,154200.0,58.27,176364.0,6.0,44926,44926,89852,89852
Birbhaddar,1.0,0.0,0.0,1.0,BIRBHADDAR,0.0,,0.0,,,0,0,0,0
Bolpur,1.0,0.0,0.0,1.0,BOLPUR,0.0,,0.0,,,0,0,0,0
Cannanore,0.0,1.0,0.0,1.0,CANNANORE,0.0,,0.0,,,0,0,0,0
Chakan,1.0,0.0,0.0,1.0,CHAKAN,0.0,,0.0,,,0,0,0,0
Champahati,1.0,0.0,0.0,1.0,CHAMPAHATI,0.0,,0.0,,,0,0,0,0
Visnagar,1.0,0.0,0.0,1.0,VISNAGAR,0.0,,0.0,,,0,0,0,0
Bhatpara,1.0,0.0,0.0,1.0,BHATPARA,0.0,,0.0,,,0,0,0,0
Bhilai,1.0,0.0,0.0,1.0,BHILAI,0.0,,0.0,,,0,0,0,0
Bhilwara,1.0,0.0,0.0,1.0,BHILWARA,512654.0,104060.0,70.06,141732.0,4.93,36452,36452,72904,72904
Bhiwadi,0.0,0.0,1.0,1.0,BHIWADI,0.0,,0.0,,,0,0,0,0
Bhiwandi,1.0,0.0,0.0,1.0,BHIWANDI,0.0,,0.0,,,0,0,0,0
Bidar,1.0,0.0,0.0,1.0,BIDAR,425952.0,79958.0,71.13,99075.0,5.33,28437,28437,56874,56874
Titagarh,1.0,0.0,0.0,1.0,TITAGARH,0.0,,0.0,,,0,0,0,0
Amloh,1.0,0.0,0.0,1.0,AMLOH,0.0,,0.0,,,0,0,0,0
Amroha,1.0,0.0,0.0,1.0,AMROHA,0.0,,0.0,,,0,0,0,0
Amroli,1.0,0.0,0.0,1.0,AMROLI,0.0,,0.0,,,0,0,0,0
Angamali,0.0,1.0,0.0,1.0,ANGAMALI,0.0,,0.0,,,0,0,0,0
Attingal,0.0,1.0,0.0,1.0,ATTINGAL,0.0,,0.0,,,0,0,0,0
Akola,1.0,0.0,0.0,1.0,AKOLA,719741.0,145530.0,80.85,176667.0,4.95,58831,58831,117661,117661
Yavatmal,1.0,0.0,0.0,1.0,YAVATMAL,598153.0,131384.0,81.34,145557.0,4.55,53434,53434,106868,106868
